VariableName,VariableLabel
CNT,Country code 3-character
CNTRYID,Country Identifier
CNTSCHID,Intl. School ID
CYC,PISA Assessment Cycle (2 digits + 2 character Assessment type - MS/FT)
NatCen,National Centre 6-digit Code
STRATUM,Stratum ID 5-character (cnt + original stratum ID)
SUBNATIO,Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)
REGION,REGION
OECD,OECD country
ADMINMODE,Mode of Respondent
LANGTEST_QQQ,Language of Questionnaire
SC001Q01TA,Which of the following definitions best describes the community in which your school is located?
SC013Q01TA,Is your school a public or a private school?
SC014Q01TA,What kind of organisation runs your school?
SC016Q01TA,"Percentage of schoolyr funding comes from: Government (includes departments, local, regional, state and national)"
SC016Q02TA,Percentage of schoolyr funding comes from: Student fees or school charges paid by parents or guardians
SC016Q03TA,"Percentage of schoolyr funding comes from: Benefactors, donations, bequests, sponsorships, parent or guardian fundraising"
SC016Q04TA,Percentage of schoolyr funding comes from: Other
SC011Q01TA,Which of the following statements best describes the schooling available to students in your location?
SC002Q01TA,"As of [February 1, 2021], what was the total school enrolment (number of students): Number of boys:"
SC002Q02TA,"As of [February 1, 2021], what was the total school enrolment (number of students): Number of girls:"
SC211Q01JA,Percentage [15-year-old modal grade] students who: Students whose [heritage language] is different from [test language]
SC211Q02JA,Percentage [15-year-old modal grade] students who: Students with special learning needs
SC211Q03JA,Percentage [15-year-old modal grade] students who: Students from socioeconomically disadvantaged homes
SC211Q04JA,Percentage [15-year-old modal grade] students who: Students who are immigrants (not including refugees)
SC211Q05JA,Percentage [15-year-old modal grade] students who: Students who have parents who have immigrated
SC211Q06JA,Percentage [15-year-old modal grade] students who: Students who are refugees
SC018Q01TA01,Teachers in TOTAL: Full-time
SC018Q01TA02,Teachers in TOTAL: Part-time
SC018Q02TA01,Teachers [fully certified] by [the appropriate authority]: Full-time
SC018Q02TA02,Teachers [fully certified] by [the appropriate authority]: Part-time
SC018Q08JA01,Teachers with an [ISCED Level 6 - Bachelor's or equivalent level] qualification: Full-time
SC018Q08JA02,Teachers with an [ISCED Level 6 - Bachelor's or equivalent level] qualification: Part-time
SC018Q09JA01,Teachers with an [ISCED Level 7 - Master's or equivalent level] qualification: Full-time
SC018Q09JA02,Teachers with an [ISCED Level 7 - Master's or equivalent level] qualification: Part-time
SC018Q10JA01,Teachers with an [ISCED Level 8 - Doctoral or equivalent level] qualification: Full-time
SC018Q10JA02,Teachers with an [ISCED Level 8 - Doctoral or equivalent level] qualification: Part-time
SC182Q01WA01,Teachers of mathematics in TOTAL: Full-time
SC182Q01WA02,Teachers of mathematics in TOTAL: Part-time
SC182Q06WA01,Teachers of math [fully certified] by [the appropriate authority]: Full-time
SC182Q06WA02,Teachers of math [fully certified] by [the appropriate authority]: Part-time
SC182Q07JA01,Teachers of math with at least an [ISCED Level 6 ] qualification: Full-time
SC182Q07JA02,Teachers of math with at least an [ISCED Level 6 ] qualification: Part-time
SC182Q08JA01,Teachers of math with at least an [ISCED Level 6 ] qualification [with a major] in mathematics: Full-time
SC182Q08JA02,Teachers of math with at least an [ISCED Level 6 ] qualification [with a major] in mathematics: Part-time
SC182Q09JA01,Teachers of math with at least an [ISCED Level 6 ] qualification in [pedagogy]: Full-time
SC182Q09JA02,Teachers of math with at least an [ISCED Level 6 ] qualification in [pedagogy]: Part-time
SC182Q10JA01,Teachers of math with an [ISCED Level 5] but not an [ISCED Level 6] qualification: Full-time
SC182Q10JA02,Teachers of math with an [ISCED Level 5] but not an [ISCED Level 6] qualification: Part-time
SC168Q01JA,"Number of non-teaching staff working in school who are: Personnel for pedagogical support, irrespective of the [grade levels]/ages they support"
SC168Q02JA,Number of non-teaching staff working in school who are: School administrative personnel
SC168Q03JA,Number of non-teaching staff working in school who are: School management personnel
SC168Q04JA,Number of non-teaching staff working in school who are: Other non-teaching staff
SC012Q01TA,"During admission, how often consider: Student's record of academic performance (including placement tests)"
SC012Q02TA,"During admission, how often consider: Recommendation of feeder schools"
SC012Q03TA,"During admission, how often consider: Parents' or guardians' endorsement of the instructional or religious philosophy of the school"
SC012Q04TA,"During admission, how often consider: Whether the student requires or is interested in a special programme"
SC012Q05TA,"During admission, how often consider: Preference given to family members of current or former students"
SC012Q06TA,"During admission, how often consider: Residence in a particular area"
SC012Q08JA,"During admission, how often consider: Student's disciplinary record in this or another school"
SC012Q10JA,"During admission, how often consider: Student's parental status or pregnancy"
SC012Q11JA,"During admission, how often consider: Student's working status"
SC012Q12JA,"During admission, how often consider: Student's cultural or ethnic background"
SC185Q01WA,How likely a student in your school would be transferred to another school for: Low academic achievement
SC185Q02WA,How likely a student in your school would be transferred to another school for: High academic achievement
SC185Q03WA,How likely a student in your school would be transferred to another school for: Behavioural problems
SC185Q04WA,How likely a student in your school would be transferred to another school for: Special learning needs
SC185Q05WA,How likely a student in your school would be transferred to another school for: Parents' or guardians' request
SC202Q01JA,"At your school, who is responsible for: Appointing or hiring teachers"
SC202Q02JA,"At your school, who is responsible for: Dismissing or suspending teachers from employment"
SC202Q03JA,"At your school, who is responsible for: Establishing teachers' starting salaries, including setting pay scales"
SC202Q04JA,"At your school, who is responsible for: Determining teachers' salary increases"
SC202Q05JA,"At your school, who is responsible for: Formulating the school budget"
SC202Q06JA,"At your school, who is responsible for: Deciding on budget allocations"
SC202Q07JA,"At your school, who is responsible for: Establishing student disciplinary policies and procedures"
SC202Q08JA,"At your school, who is responsible for: Establishing student assessment policies, including [national/regional] assessments"
SC202Q09JA,"At your school, who is responsible for: Approving students for admission to the school"
SC202Q10JA,"At your school, who is responsible for: Choosing which learning materials are used"
SC202Q11JA,"At your school, who is responsible for: Determining course content, including [national/regional] curricula"
SC202Q12JA,"At your school, who is responsible for: Deciding which courses are offered"
SC201Q01JA,How often you/others in [school management team]: Collaborating with teachers to solve classroom discipline problems
SC201Q03JA,How often you/others in [school management team]: Providing feedback to teachers based on observations of instruction in the classroom
SC201Q04JA,How often you/others in [school management team]: Taking actions to support co-operation among teachers to develop new teaching practices
SC201Q05JA,How often you/others in [school management team]: Taking actions to ensure that teachers take responsibility for improving their teaching skills
SC201Q06JA,How often you/others in [school management team]: Taking actions to ensure that teachers feel responsible for their students' learning outcomes
SC201Q07JA,How often you/others in [school management team]: Providing parents or guardians with information on the school and student performance
SC201Q11JA,How often you/others in [school management team]: Working on a professional development plan for this school
SC004Q01TA,"[Stem] At your school, what is the total number of students in the [national modal grade for 15-year-olds]?"
SC004Q02TA,"[Stem] Approximately, how many desktop or laptop computers are available for these students for educational purposes?"
SC004Q03TA,"[Stem] Approximately, how many of these desktop or laptop computers are connected to the Internet?"
SC004Q08JA,"[Stem] Approximately, how many tablet devices (e.g. [iPad®], [Galaxy Book®], [Fire®]) or e-book readers (i.e. portable device for reading books on screen, e.g. [Amazon® KindleTM], [Kobo]) are available for these students for educational purposes?"
SC004Q05NA,"[Stem] Approximately, how many interactive whiteboards are available in the school altogether?"
SC004Q06NA,"[Stem] Approximately, how many data projectors are available in the school altogether?"
SC004Q07NA,"[Stem] Approximately, how many desktop or laptop computers with internet connection are available for teachers in your school?"
SC190Q01JA,Apply to your school: The school has a written statement about the general use of digital devices on the school premises.
SC190Q02JA,Apply to your school: The use of [cell phones] is not allowed on the school premises.
SC190Q05JA,Apply to your school: The school has formal guidelines for the use of digital devices for teaching and learning in specific subjects.
SC190Q06JA,Apply to your school: Teachers establish rules for when students may use digital devices during lessons.
