CNTSCHID,CNTSTUID,ST267Q01JA,ST267Q02JA,ST267Q03JA,ST267Q04JA,ST267Q05JA,ST267Q06JA,ST267Q07JA,ST267Q08JA,ST034Q01TA,ST034Q02TA,ST034Q03TA,ST034Q04TA,ST034Q05TA,ST034Q06TA,ST038Q03NA,ST038Q04NA,ST038Q05NA,ST038Q06NA,ST038Q07NA,ST038Q08NA,ST038Q09JA,ST038Q10JA,ST038Q11JA,ST265Q01JA,ST265Q02JA,ST265Q03JA,ST265Q04JA
60800047,60800001,Strongly agree,Agree,Agree,Not Applicable,Agree,Not Applicable,Not Applicable,Strongly disagree,Strongly disagree,Not Applicable,Agree,Disagree,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800131,60800002,Agree,Not Applicable,Agree,Not Applicable,Agree,Agree,Agree,Not Applicable,Disagree,Agree,Agree,Not Applicable,Agree,Disagree,Never or almost never,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800080,60800003,Strongly agree,Not Applicable,Disagree,Agree,Not Applicable,Not Applicable,Strongly agree,Strongly disagree,Disagree,Agree,Strongly agree,Not Applicable,Agree,Strongly disagree,A few times a month,A few times a month,A few times a month,Never or almost never,Once a week or more,A few times a month,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Strongly agree,Agree
60800058,60800004,Agree,Strongly disagree,Not Applicable,Agree,Not Applicable,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Strongly agree,Never or almost never,A few times a year,A few times a year,A few times a year,A few times a year,Never or almost never,A few times a month,Never or almost never,A few times a year,Agree,Agree,Agree,Disagree
60800179,60800005,Not Applicable,Agree,Disagree,Disagree,Not Applicable,Agree,Agree,Not Applicable,Disagree,Agree,Agree,Disagree,Agree,Not Applicable,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800112,60800006,Disagree,Not Applicable,Not Applicable,Agree,Disagree,Agree,Not Applicable,Agree,Not Applicable,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Never or almost never,Never or almost never,A few times a year,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800071,60800007,Agree,Not Applicable,Agree,Agree,Disagree,Not Applicable,Agree,Not Applicable,Disagree,Agree,Agree,Not Applicable,Agree,Disagree,A few times a month,A few times a month,A few times a month,A few times a month,Never or almost never,A few times a month,A few times a month,Never or almost never,Never or almost never,Agree,Disagree,Agree,Disagree
60800011,60800008,Agree,Agree,Disagree,Disagree,Not Applicable,Not Applicable,Not Applicable,Disagree,Disagree,Agree,Agree,Not Applicable,Agree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800052,60800009,Not Applicable,Not Applicable,Agree,Disagree,Disagree,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Agree,Disagree,Disagree,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800100,60800010,Not Applicable,Disagree,Disagree,Not Applicable,Disagree,Agree,Disagree,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,A few times a year,A few times a year,A few times a year,A few times a month,A few times a year,A few times a year,A few times a year,A few times a year,A few times a year,Agree,Agree,Agree,Agree
60800145,60800011,Not Applicable,Agree,Agree,Agree,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Not Applicable,Agree,Agree,Agree,Never or almost never,A few times a year,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800171,60800012,Agree,Strongly agree,Strongly agree,Not Applicable,Agree,Not Applicable,Agree,Not Applicable,Not Applicable,Agree,Agree,Disagree,Agree,Disagree,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800050,60800013,Not Applicable,Strongly disagree,Not Applicable,Agree,Not Applicable,Agree,Agree,Agree,Disagree,Not Applicable,Strongly agree,Agree,Agree,Disagree,A few times a year,A few times a month,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Disagree,Agree,Agree
60800036,60800014,Not Applicable,Strongly agree,Not Applicable,Agree,Agree,Not Applicable,Agree,Agree,Disagree,Not Applicable,Agree,Disagree,Agree,Disagree,A few times a year,Never or almost never,Never or almost never,Never or almost never,A few times a month,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Disagree
60800076,60800015,Agree,Disagree,Not Applicable,Agree,Not Applicable,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Disagree,Agree,Strongly disagree,Once a week or more,Once a week or more,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800101,60800016,Not Applicable,Disagree,Not Applicable,Agree,Strongly disagree,Strongly disagree,Not Applicable,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Not Applicable,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a month,A few times a month,Never or almost never,Disagree,Disagree,Disagree,Agree
60800006,60800018,Not Applicable,Strongly agree,Agree,Not Applicable,Not Applicable,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Not Applicable,Disagree,Once a week or more,Once a week or more,Once a week or more,Once a week or more,Once a week or more,Once a week or more,Never or almost never,Once a week or more,Never or almost never,Strongly agree,Agree,Strongly agree,Agree
60800087,60800019,No Response,No Response,No Response,Not Applicable,Not Applicable,Not Applicable,No Response,No Response,Agree,Strongly agree,Strongly agree,Not Applicable,Disagree,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Strongly agree,Strongly agree,Strongly agree,Strongly agree
60800182,60800020,Not Applicable,Agree,Agree,Agree,Not Applicable,Agree,Not Applicable,Agree,Agree,Agree,Agree,Disagree,Not Applicable,Disagree,A few times a year,Once a week or more,Once a week or more,A few times a month,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Agree,Agree,Agree,Agree
60800069,60800021,Agree,Disagree,Not Applicable,Agree,Not Applicable,Not Applicable,Agree,Disagree,Not Applicable,Agree,Agree,Agree,Disagree,Disagree,A few times a month,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Never or almost never,A few times a year,Never or almost never,Agree,Agree,Agree,Agree
60800015,60800022,Agree,Not Applicable,Agree,Not Applicable,Agree,Agree,Not Applicable,Agree,Agree,Agree,Agree,No Response,Not Applicable,Agree,Never or almost never,Once a week or more,Never or almost never,Never or almost never,Never or almost never,Once a week or more,Never or almost never,No Response,Once a week or more,Agree,Agree,Agree,Agree
60800160,60800023,Not Applicable,Strongly agree,Not Applicable,Agree,Strongly agree,Strongly agree,Not Applicable,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Not Applicable,Strongly disagree,Once a week or more,A few times a month,A few times a month,A few times a month,A few times a month,Never or almost never,Never or almost never,Never or almost never,Never or almost never,Strongly agree,Strongly agree,Strongly agree,Disagree
60800154,60800024,Strongly agree,Strongly agree,Not Applicable,Agree,Not Applicable,Strongly agree,Strongly agree,Not Applicable,Disagree,Agree,Agree,Agree,Agree,Not Applicable,A few times a year,Once a week or more,A few times a month,A few times a month,A few times a year,Once a week or more,A few times a year,A few times a month,Never or almost never,Agree,Agree,Agree,Agree
