SchoolID,StudentID,STRATUM,StudentBIrthMonth,StudentBirthYear,Gender,OwnRoom,ComputerLaptopPhoneForSchool,EducationalApps,OwnPhonewithInternet,InternetAccess,CarsVansOrTrucks,MopedOrMotorcycles,RoomsWBathShower,RoomsWFlushToilet,MusicalInstruments,ArtWorks,VideoGame,SmartTV,Screens,TVs,PCs,LaptopNotebook,Tablets,EbookReader,PhoneWInternet
60800047,60800001,PHL - stratum 11: REGION 10,April,2006,Female,Yes,Yes,Yes,Yes,Yes,One,Two,Two,Two,One,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,6 to 10,1 or 2,1 or 2,1 or 2,1 or 2,None,03-May
60800131,60800002,PHL - stratum 04: REGION 4A,March,2006,Female,No,No,No,Yes,No,None,Two,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,One,None,None,None,None,None,1 or 2
60800080,60800003,PHL - stratum 14: NCR,September,2006,Male,No,Yes,Yes,Yes,Yes,None,Two,Three or more,None,Two,Three or more,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-Two,More than 10,1 or 2,1 or 2,None,1 or 2,I don't know.,More than 5
60800058,60800004,PHL - stratum 03: REGION 3,September,2006,Female,Yes,Yes,Yes,No,Yes,None,None,One,One,One,Three or more,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,There are no <digital devices> with screens.,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip
60800179,60800005,PHL - stratum 16: CARAGA,May,2006,Male,No,No,Yes,Yes,Yes,None,None,None,None,One,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Four,1 or 2,None,None,None,None,03-May
60800112,60800006,PHL - stratum 12: REGION 11,September,2006,Female,Yes,No,Yes,Yes,Yes,None,One,None,One,One,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,1 or 2,None,1 or 2,1 or 2
60800071,60800007,PHL - stratum 09: REGION 8,June,2006,Male,No,No,No,Yes,Yes,None,Two,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,None,None,1 or 2,1 or 2
60800011,60800008,PHL - stratum 08: REGION 7,May,2006,Male,No,No,No,Yes,No,None,One,Two,Two,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Three,03-May,None,None,None,None,1 or 2
60800052,60800009,PHL - stratum 12: REGION 11,October,2006,Female,Yes,Yes,No,Yes,Yes,Two,One,One,One,Two,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Three,1 or 2,None,1 or 2,None,None,03-May
60800100,60800010,PHL - stratum 07: REGION 6,January,2006,Male,Yes,Yes,Yes,Yes,Yes,Two,One,None,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,One,1 or 2,None,1 or 2,None,None,1 or 2
60800145,60800011,PHL - stratum 13: REGION 12,September,2006,Male,Yes,Yes,Yes,Yes,Yes,None,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,One,1 or 2,None,None,None,None,1 or 2
60800171,60800012,PHL - stratum 03: REGION 3,November,2006,Female,No,Yes,Yes,Yes,Yes,None,Three or more,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,6 to 10,1 or 2,None,1 or 2,None,None,1 or 2
60800050,60800013,PHL - stratum 14: NCR,April,2006,Female,No,No,Yes,Yes,Yes,None,None,None,One,None,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Four,None,None,No Response,1 or 2,1 or 2,1 or 2
60800036,60800014,PHL - stratum 04: REGION 4A,August,2006,Female,Yes,No,No,Yes,Yes,None,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,03-May,None,1 or 2,None,None,1 or 2
